Timestamp;Component_Name;Part_Number;Description;Quantity;Material;Supplier;Unit_Cost;Lead_Time;Criticality;Source_of_Supply;Revision_Level;Manufacturing_Process;Quality_Standards;Testing_Requirements;Assembly_Instructions;Subassembly_Level;Weight;Packaging_Information;Environmental_Compliance;Safety_Considerations;Demand
2023-01-01 08:00:00;CHM-001;12345;Main chamber body;1;Stainless Steel;Vendor A;10000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S123;Helium Leak Test;Provided by vendor;Level 1;200 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance;150
2023-02-01 08:00:00;LID-001;54321;Lid for chamber;1;Aluminum Alloy;Vendor B;5000;8 weeks;High;External;A.1;CNC Machining;SEMI S456;Visual Inspection;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening;120
2023-03-01 08:00:00;GDS-001;67890;Gas distribution manifold;1;Stainless Steel;Vendor C;8000;10 weeks;Medium;External;A.2;Precision Machining;SEMI S789;Leak Test;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;-;90
2023-04-01 08:00:00;PSA-001;11223;RF Generator and Electrostatic Chuck Assembly;1;Various;Vendor D;20000;14 weeks;High;External;A.3;Integration of Components;SEMI S234;Electrical Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation;180
2023-05-01 08:00:00;WHS-001;33445;Robot arm and wafer chuck;1;Aluminum Alloy, Ceramic;Vendor E;15000;16 weeks;High;External;A.1;Robotic Assembly;SEMI S567;Functional Tests;Provided by vendor;Level 2;40 kg;Custom crate;RoHS, REACH;Safety interlocks during handling;200
2023-06-01 08:00:00;ISA-002;55667;Ion source for plasma etching;1;Titanium;Vendor F;18000;15 weeks;Medium;External;B.1;Laser Cutting, Assembly;SEMI S890;Mass Spectrometry Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation;160
2023-07-01 08:00:00;CS-002;77889;Closed-loop coolant system;1;Stainless Steel;Vendor G;12000;10 weeks;Medium;External;A.2;CNC Machining;SEMI S678;Pressure Test;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;-;110
2023-08-01 08:00:00;PSU-002;99001;High-voltage power supply;1;Copper, Silicon;Vendor H;25000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance;220
2023-09-01 08:00:00;GPS-002;11223;Gas purification and filtration;1;Polypropylene;Vendor I;15000;12 weeks;Medium;External;A.1;Filtration and Purification;SEMI S456;Gas Purity Analysis;Provided by vendor;Level 1;45 kg;Custom crate;RoHS, REACH;-;100
2023-10-01 08:00:00;TCU-002;33445;Precision temperature control;1;Inconel;Vendor J;20000;14 weeks;High;External;B.2;Thermoelectric Cooling;SEMI S789;Temperature Stability Test;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation;130
